Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label_x,Sentiment,Sentiment Score
"""I'm going to LARP as someone from a TV show because otherwise I might not get to engage in recreational infanticide"" said the well adjusted and not at all hysterical woman.",No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses a fictional scenario without any reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be a critique of a specific behavior or attitude rather than an attack on a racial group,Non-hate,Neutral,0.0356
"""If you're in the forest to collect firewood and the soldiers see you, they will rape you"" Horrifying stories from women in #refugee camps in #SouthSudan",No,the tweet does not contain racial hate speech against People of African Descent as it discusses a humanitarian issue without targeting a specific racial group,Yes,the author's motivation for writing the tweet is not hateful or racist as it aims to raise awareness about violence faced by women in refugee camps,Non-hate,Negative,-0.8555
"""Often employers consider employees slaves as they think they have bought them [because] they pay them."" #ucanews #thereforthevoiceless #women #migrants #abuse #Bangladesh @user @user @user @user @user @user @user",No,the tweet does not specifically target People of African Descent and uses the term slaves in a broader context of employment and exploitation rather than racial hate speech,No,the author's motivation appears to be highlighting issues of abuse and exploitation rather than promoting hate or racism,Hate,Negative,-0.6808
"""The church's position on immigration will define its witness to a hurt and broken world."" - Welcoming the Stranger. This updated book is written by World Relief's Matthew Soerens and Jenny Yang. Find your copy today!",No,The tweet does not contain any racial hate speech against People of African Descent Black people as it discusses immigration and a book without any derogatory language or references to race,No,The author's motivation for writing the tweet does not appear to be hateful or racist as it promotes a book that addresses immigration in a compassionate context,Non-hate,Negative,-0.5983
"""We have nothing except the e-card, but at least we can eat."" Ahmad &amp; his family of 8 no longer need to beg for food thanks to @user &amp; @user who provide e-cards for vulnerable Syrians #refugees in Lebanon so they can buy food for their families.",No,this tweet does not contain any racial hate speech against People of African Descent as it focuses on the situation of Syrian refugees and does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses support for vulnerable individuals in need of assistance,Non-hate,Negative,-0.0772
#ACTNOW! #USA #EB5 #EB5Visa #Immigrant #Foreign #Investor #Visa Program Laws ARE Changing! $500k #Investment. Payment plans available. Use #bitcoin #ether #cryptocurrency. Become a US Citizen! Visit us at Contact us TODAY at gbibuildingco@outlook.com. RT,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist it promotes a visa program for immigrants,Non-hate,Neutral,0.0
"#BeBestMyAss This  week - I want my supporters to wear shorts or skirts that read, ""Be  Best"" on the back - synonym for ""Be Best My Ass!"" Let's be ridiculous (film your ass shaking) @user lacks sensitivity towards immigrant children! Photo Credit: theGrio",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not target any racial group or express animosity towards them,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a critique of a political stance rather than an attack on a racial group,Non-hate,Positive,0.6792
"#BorderSecurity #BorderPatrol #Immigration #Undocumented #Aliens#PresidentTrump has signed an Executive Order ending #CatchAndRelease.  This is a huge, Catch and Release has been a...",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it focuses on immigration policy and does not reference race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a political issue rather than targeting any specific racial group,Non-hate,Positive,0.3182
"#BringBackOurBorders #HillaryClinton #IllegalImmigration #Clinton#Democrats could EASILY fix the problem with ‘˜separating children’ if they desired, but they really don’t care about the...",No,the tweet does not contain any direct racial hate speech against People of African Descent Black people it focuses on immigration issues and political figures,No,the author's motivation does not appear to be hateful or racist it seems to be criticizing political actions related to immigration,Non-hate,Positive,0.7568
#BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall BUILD THAT EFFEN WALL!I'm sorry my Lord #Jesus but people are just deaf down here,No,the tweet does not contain explicit racial hate speech against Black people it focuses on a political slogan and does not reference race or ethnicity in a derogatory manner,No,the author's motivation appears to be political frustration rather than hateful or racist intent as there is no direct attack on any racial group,Hate,Negative,-0.1134
