Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label_x,Sentiment,Sentiment Score
"""Fucking clueless woman should stay in the kitchen and not ruin a good man's name."" - A United fan after reading this, probably",No,the tweet does not specifically target People of African Descent or contain racial hate speech,No,the author's motivation seems to be expressing frustration rather than a hateful or racist intent,Hate,Positive,0.4539
"""Italy denies our right to worship Islam"" - Muslim migrants complain about the life in Italy - Free Speech Time - @user",No,the tweet does not contain racial hate speech against People of African Descent as it discusses Muslim migrants and their complaints rather than targeting Black people specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to address a broader issue of religious freedom rather than promoting hate against a specific racial group,Hate,Positive,0.0516
"""Statue of Liberty""  @user Start Mass Deportations ! Poll - Majority of White, Black, and Hispanic Americans: U.S. Needs Stricter Immigration Enforcement | Happy4th #Trump #MAGA #SendThemBack via @user",No,the tweet does not contain racial hate speech against People of African Descent it mentions various racial groups without targeting or demeaning any of them,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to focus on immigration enforcement rather than promoting hatred towards any specific racial group,Hate,Positive,0.5707
"""Valley of the Children"" gives a glimpse of the refugee journey for two Memphis families, two families whose fathers had to make life and death decisions. Their stories are essential because they are our neighbors,...",No,the tweet does not contain racial hate speech against Black people as it discusses the refugee journey of families without any derogatory language or racial targeting,No,the author's motivation for writing the tweet is not hateful or racist as it aims to highlight the experiences of families and promote understanding and empathy,Non-hate,Negative,-0.5994
#Bangladesh releases first list of #Rohingya #refugees for repatriation to their strife-torn home in #Myanmar @user @user @user @user @user,No,the tweet does not contain any racial hate speech against Black people as it discusses Rohingya refugees and their repatriation to Myanmar,Yes,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be informational regarding a specific refugee situation,Non-hate,Neutral,0.0
#BasketOfDeplorables #IllegalImmigration #Liberals #Sexist #RacistConfessions of a ‘˜Deplorable’ AmericanOn...,No,the tweet does not explicitly target or demean People of African Descent,No,the author's motivation appears to be political critique rather than racial hatred,Non-hate,Neutral,0.0
"#Buildthatwall #Deportthemall @user More Needless Deaths at the Hands of an Illegal Alien, and an Oregon Ballot Initiative",No,this tweet does not explicitly target People of African Descent or contain racial hate speech it focuses on illegal immigration and does not mention race,Yes,the author's motivation appears to be hateful as it expresses a desire for deportation and implies a negative view of illegal aliens,Hate,Negative,-0.5574
#Burundi—Nkurunziza’s envoy to the UN now recognizes that there was a crisis since 2015. He spent the last 3 years denying it. He now says it’s over &amp; all is well. He forgets:‘¢ 400K refugees outside Burundi‘¢ 2000+ victims who need justice‘¢3 million affected by hunger‘¢...,No,the tweet does not contain any racial hate speech against People of African Descent as it discusses political issues in Burundi without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to focus on humanitarian concerns and political accountability,Non-hate,Negative,-0.8074
#DACA is Illegal Will End- Because their Parents Are Criminals Crossing a Border Illegally or OverStaying their Visas Doesnt mean their kids get to stay Stop Rewarding Illegal #Immigration Enforce the Laws #NoDACA #NoAmnesty #Trump #MAGA #SendThemBack,No,the tweet does not specifically target People of African Descent nor does it contain language that is explicitly racial in nature,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism towards a specific racial group,Hate,Negative,-0.8658
#Democrats Illegal Alien Grand Ma Caught  Sneakin in 31 Pounds of Herion from Mexico Proving Illegal Grand Mas Must be deported too!  #Trump #MAGA  #RedNationRising  Abolish Illegals Keep @user @user  #Immigration,No,the tweet does not specifically target People of African Descent or contain language that is racially hateful,No,the author's motivation appears to be focused on immigration issues rather than racial animosity,Hate,Negative,-0.3595
#EU migration policy in focus,No,the tweet does not contain any specific reference to racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist as it discusses a policy issue without any negative connotation towards any racial group,Non-hate,Neutral,0.0
#Ethiopia #Tigray #EPRDF #TPLF #YPFDJ #refugees #Eritrea #ypfdj #OLF #Ethiopian proud to have come from tigray.,No,The tweet expresses pride in a specific region and does not contain any derogatory language or sentiments towards Black people,Yes,The author's motivation appears to be one of regional pride rather than hate or racism,Non-hate,Positive,0.4767
#FuckISIS xD Check out The Super Patriotic Dating Simulator by Immigrant Father Studios on @user,No,The tweet does not contain any racial hate speech against People of African Descent as it does not reference race or ethnicity,No,The author's motivation for writing the tweet does not appear to be hateful or racist as it promotes a dating simulator and does not express animosity towards any group,Non-hate,Positive,0.8271
#ICE #IllegalImmigration #IllegalAliens #BorderPatrol #MS13One reason I’m against illegal immigration is that we...,No,the tweet does not explicitly mention or target People of African Descent or contain racial hate speech,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism,Hate,Negative,-0.5574
#Immigration #IllegalAlien #BorderPatrol #Citizenship #MAGAThis is a good explanation!  - Dave,No,this tweet does not contain explicit racial hate speech against People of African Descent as it does not mention race or ethnicity in a derogatory manner,No,the author's motivation appears to be focused on immigration issues rather than expressing hate or racism,Non-hate,Positive,0.4926
#Immigration #IllegalAliens #BorderSecurity #BorderPatrol #MigrantsHow noble of #JohnLegend to stand up against the evil #Republicans...,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation appears to be political criticism rather than hateful or racist intent,Hate,Negative,-0.34
"#Immigration #STOPimmigration #Overpopulation #TurnbullGasToGo No Turnbull, after destroying Australians culture, identity and living standards, the people will NOT allow your INSANE immigration policy to continue, STOP IT NOW OR THE PEOPLE WILL STOP YOU !",No,this tweet does not contain explicit racial hate speech against People of African Descent it focuses on immigration and cultural identity without targeting any specific racial group,No,the author's motivation appears to be political opposition to immigration policy rather than expressing hate or racism,Hate,Negative,-0.8697
#Kakuma #refugees team up for a growing business #WithRefugees via @user @user @user @user @user @user,No,the tweet does not contain any language or references that target People of African Descent or any racial group,No,the author's motivation appears to be supportive of refugees and does not indicate hate or racism,Non-hate,Positive,0.1779
#Kenya to invest in vocational training for #refugees to enhance their integration in the host country through employment or entrepreneurship #WithRefugees @user #WorldRefugeeDay @user @user @user @user @user,No,the tweet does not contain racial hate speech against People of African Descent Black people as it discusses vocational training for refugees without any derogatory language or racial targeting,No,the author's motivation for writing the tweet is not hateful or racist as it promotes integration and support for refugees in a positive manner,Non-hate,Neutral,0.0
#Libyan Coast Guard Takes 611 Migrants Back to AfricaBUT:A spokesman for the Council of Europe stated that “no European ship can bring migrants back to Libya because it is contrary to our principles” - which are:to #DestroyEurope w/ #MuslimInvasionhttps://t.co/IcX7qyS5wn,No,the tweet does not specifically target People of African Descent with racial hate speech it discusses migrants in a broader context,No,the author's motivation appears to be more focused on a political stance against migration rather than a specific racial hatred,Non-hate,Neutral,0.0
"#NFAT #Thailand fishing fleet owners have no one but themselves to blame for labor shortages given rights abuses, forced labor, failure to pay minimum wage &amp; dangerous working conditions! There's a reason migrants avoid the boats!",No,the tweet discusses labor issues and rights abuses without targeting any specific racial group,Yes,the author's motivation appears to be to highlight injustices and advocate for better treatment of workers rather than to promote hate or racism,Non-hate,Negative,-0.9808
#NYHitsRadio ♪ Glam Skanks - Bad Bitch by Glam Skanks ♪,No,the tweet does not contain any racial hate speech against People of African Descent Black people it is a neutral statement about music,Yes,the author's motivation for writing the tweet is not hateful or racist it appears to be simply promoting a song,Non-hate,Negative,-0.8074
#NorthKorea is going to 'denuclearize' just like #Mexico is going to pay for the #Wall. Both pronouncements are examples of @user hot air. #ImmigrationReform @user @user,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses political issues related to North Korea and Mexico without reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it critiques political statements rather than targeting a specific racial group,Non-hate,Positive,0.2732
#NotAllMen is legitimatly telling you men don't rape because of some urge... You need to watch zootopia and pay at…,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses a broader issue related to gender and does not target any racial group specifically,No,the author's motivation for writing the tweet is not hateful or racist it appears to be an attempt to engage in a conversation about gender issues rather than express hate,Hate,Positive,0.5168
#OpenBorders #IllegalImmigration #SecureBorders #LowWages #TrumpWho comes into this country?   Are they bringing in drugs?  Are they criminals?  Do they have disease?  Are they...,No,the tweet does not explicitly mention or target People of African Descent or any specific racial group,No,the motivation appears to be focused on immigration issues rather than race or hate against a specific group,Hate,Negative,-0.6868
#OpenBorders #Immigration #MS13  #ChildTrafficking  #DrugCartelsWhat the left wants is OPEN BORDERS.  What will that bring the United States?  - High crime- Low wages- An overburdened...,No,the tweet does not explicitly target People of African Descent or contain language that is racially hateful in nature,No,the author's motivation appears to be focused on immigration policy rather than expressing hatred or racism towards any specific racial group,Hate,Negative,-0.4215
#Philippines backs 'long-overdue' UN migration pact #UnitedStates #UnitedNations,No,the tweet does not contain any references to race or racial groups,No,the author's motivation appears to be informational and not hateful or racist,Non-hate,Negative,-0.0516
#QAnon #FISA #GreatAwakening #StopTheInvasion #ControlledMSM #FakeNews #MSMGlobalists,No,this tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be focused on conspiracy theories and media criticism rather than promoting hate or racism,Hate,Neutral,0.0
#SendThemBack To Their Home Country & to Their Historical Culture in Africa. The #Migrants Appreciate Their #AfricanCulture More Than We Know. @user @user @user @user @user @user,Yes,the tweet suggests that people of African descent should return to Africa which implies a negative view of their presence elsewhere,Yes,the language used indicates a desire to exclude and diminish the value of their contributions which reflects a hateful motivation,Hate,Positive,0.4019
"#SendThemBack! Send the #AsylumSeekers Back to Their Originating Country, Not Italy. Migrants Will Feel Most Welcome Culturally in The Country of Their Birthplace.@HorstSeeehofer @user @user @user",No,the tweet does not specifically target People of African Descent and focuses on asylum seekers without racial context,No,the author's motivation appears to be focused on immigration policy rather than racial hatred,Hate,Positive,0.5551
#UK 'will lose track of many #EU migrants',No,the tweet does not contain any reference to race or ethnicity and is discussing EU migrants in a general context,No,the author's motivation appears to be related to migration policy rather than expressing hate or racism,Non-hate,Negative,-0.4019
#WomenDisobey Activist  Illegal immigration hurts black men most via @user,No,the tweet does not contain explicit racial hate speech against Black people it discusses a broader topic of illegal immigration and its impact on a specific demographic without derogatory language or slurs,No,the author's motivation does not appear to be hateful or racist the tweet seems to focus on a social issue rather than expressing hatred or prejudice,Non-hate,Negative,-0.7717
#YesAllWomenBelongInTheKitchen,No,this tweet does not specifically target People of African Descent and is more about gender roles than race,No,the motivation seems to be a commentary on gender stereotypes rather than racial hatred,Hate,Neutral,0.0
#church #ministry United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation #dailynews #trending,No,the tweet does not contain racial hate speech against People of African Descent Black people as it discusses a political issue without targeting any racial group specifically,No,the author's motivation for writing the tweet is not hateful or racist as it appears to focus on a religious and political matter rather than expressing animosity towards any race,Non-hate,Positive,0.1531
#migrants perhaps all countries that gave massive food aid to countries that could not feed their own people due to too many people as is (eg: the country is a desert) years ago should readily welcome the aftermath in the form of endless migration of refugees to their homes?,No,the tweet does not specifically target or express hatred towards Black people or any racial group,No,the author's motivation appears to be focused on migration and food aid rather than expressing hate or racism,Non-hate,Positive,0.4588
"'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses gender stereotypes rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to reflect on societal views of women rather than targeting a specific racial group,Hate,Negative,-0.9274
