Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
@user She isn’t racist unlike your somlalia bitch friend and you always causing shit.. bye slut,Yes,the tweet includes derogatory language towards a specific individual based on their perceived ethnicity or nationality,Yes,the author's motivation appears to be hateful as they use slurs and insults directed at the individual,Hate
"#NikkiHaley welcomes #Muslimrefugees @user "" It's a great day in #Sunni #SouthCarolina "" @user @user 4600 + #SunniMuslims ALONE in our capital city JUST 1 CITY! #sctweets #stopimmigration",No,the tweet does not specifically target or express hatred towards People of African Descent,No,the author's motivation appears to be focused on immigration concerns rather than racial hatred,Non-hate
@user Ruth Davidson Scotland want need a battleship if a nuke hits faslane your more interested in your lovers immigration right,No,"the tweet does not contain explicit racial hate speech against Black people it discusses military and immigration issues without targeting any racial group,",No,the author's motivation does not appear to be hateful or racist as the focus is on political commentary rather than racial animus,Hate
How bitches gonna act at my funeral,No,the tweet does not contain any specific reference to race or People of African Descent,No,the author's motivation does not appear to be hateful or racist as the language is vague and does not target a specific group,Hate
@user @user is like a hysterical woman trying to out scream @user I became a conservative years ago when the Democrats treated Clarence Thomas in such a despicable manner. Hope the public is watching this repeat.,No,the tweet does not contain explicit racial hate speech against Black people it references a specific incident involving a Black individual but does not demean or target Black people as a group,No,the author's motivation appears to be a political critique rather than a hateful or racist sentiment it focuses on a specific political event and does not express animosity towards Black people as a whole,Non-hate
Men ( not all men ) should realize that women are on their job to work and not be taken for some s. e. x. Toy.,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation appears to be about gender equality and not targeting any racial group,Non-hate
Rauner Drags His Feet While Immigrant Communities are Under Attack #ilgov #twill,No,the tweet does not specifically reference or target People of African Descent,No,the author's motivation does not appear to be hateful or racist as the focus is on immigrant communities rather than race,Non-hate
SLUT BITCH LIKED IT TOO!,No,the tweet does not contain explicit racial hate speech against Black people,No,the author's motivation for writing the tweet does not indicate a hateful or racist intent,Non-hate
"Under Trump, Muslim refugees from Burma (Rohingya) are numero uno via @user Why the hell we importing trouble for USA ? Islamists never assimilate for the simple reason their religion does not PERMIT assimilation into other societies.. Period !",No,", the tweet does not specifically target People of African Descent nor does it contain racial hate speech against them",No,", the author's motivation appears to be focused on a political stance regarding immigration and assimilation rather than expressing hatred or racism towards a specific racial group",Hate
When she says she only dates black guys,No,this tweet does not contain racial hate speech as it simply states a personal preference without derogatory language or intent,No,the author's motivation does not appear to be hateful or racist as it reflects a personal choice rather than an attack on a racial group,Non-hate
